measurement_id,oligo_id,study_type,species,system_model,tissue,delivery_method,dose_or_conc_value,dose_or_conc_unit,exposure_duration,readout_category,readout_name,readout_value,readout_unit,effect_direction,effect_vs_control,thrombocytopenia_grade,is_platelet_specific,source_id,source_ref,source_table,redistribution,notes
TMSR001,TOLG001,in_vitro,human,washed_human_platelets,platelet,direct_addition,10,uM,10min,platelet_activation,PAC-1_binding,18.169,MFI,increase,11.88x_vs_negative_control(MFI_1.529),2,TRUE,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1A + S1 File Fig1,cc_by,"mean+/-SD 18.169+/-3.623, n=5"
TMSR002,TOLG001,in_vitro,human,washed_human_platelets,platelet,direct_addition,10,uM,10min,platelet_activation,CD62P_P-selectin,9.531,MFI,increase,3.38x_vs_negative_control(MFI_2.818),2,TRUE,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 1B + S1 File Fig1,cc_by,"mean+/-SD 9.531+/-0.885, n=5"
TMSR003,TOLG001,in_vitro,human,recombinant_human_GPVI_SPR_Biacore,NA,direct_addition,10,uM,10s_post_association_stability_point,platelet_binding,GPVI_binding,21.915,pct_binding,increase,vs ODN2395 non-PS 0.246pct; collagen-I 22kDa control 35.63pct,1,TRUE,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 2C + S1 File Fig2,cc_by,mean of 2 replicates (14.75-29.08); maximal binding of the series per Results
TMSR004,TOLG001,in_vitro,human,recombinant_human_PF4_KKO_antibody_ELISA,NA,direct_addition,3,uM,overnight,platelet_binding,PF4_ON_complex_KKO_antibody_binding,53.391,pct_heparin_max,increase,53.391pct_vs_18.405pct_at_0.001uM (assay floor),2,TRUE,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 3C + S1 File Fig3,cc_by,"mean+/-SD 53.391+/-8.89, n=4; top tested conc; strongest PF4 complex former of the series"
TMSR005,TOLG001,in_vitro,human,human_primary_bone_marrow_mononuclear_cells,bone_marrow,direct_addition,12.5,uM,5d,megakaryocyte,intracellular_ATP_MK1_megakaryocyte_lineage,0.555,uM_ATP,decrease,-17.3pct_vs_0uM_control(0.671uM_ATP),0,FALSE,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 4B right panel + S1 File Fig4,cc_by,"mean+/-SD 0.555+/-0.031, n=4, top tested conc"
TMSR006,TOLG001,in_vitro,human,recombinant_human_GPVI_SPR_Biacore,NA,direct_addition,10,uM,10s_post_association_stability_point,platelet_binding,GPVI_binding,21.320,pct_binding,increase,vs ODN2395 non-PS 0.246pct (Fig 2B),1,TRUE,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 5C + S1 File Fig5,cc_by,"mean of 2 replicates (11.53/31.11); S1 row mislabelled '(AC)9', corrected against the Fig 5C image"
TMSR007,TOLG001,in_vitro,human,recombinant_human_PF4_KKO_antibody_ELISA,NA,direct_addition,3,uM,overnight,platelet_binding,PF4_ON_complex_KKO_antibody_binding,43.105,pct_heparin_max,increase,43.105pct of maximal heparin binding (assay floor ~11pct at 0.001 uM),2,TRUE,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 5D + S1 File Fig5,cc_by,"mean+/-SD 43.105+/-6.829, n=4; top tested conc"
TMSR008,TOLG001,in_vitro,human,human_whole_blood,blood,direct_addition,50,uM,6h,immunogenicity,IL-8_release,7.28,fold_change,increase,7.28x_vs_PBS_control,1,FALSE,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 6A + S1 File Fig6,cc_by,"SI mean+/-SD 7.28+/-4.448, n=5; slightly below the 8-13 fold range quoted in Results"
TMSR009,TOLG001,in_vitro,human,human_whole_blood,blood,direct_addition,50,uM,6h,immunogenicity,MCP-1_release,3.54,fold_change,increase,3.54x_vs_PBS_control,1,FALSE,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 6B + S1 File Fig6,cc_by,"SI mean+/-SD 3.54+/-1.861, n=5"
TMSR010,TOLG002,in_vitro,human,washed_human_platelets,platelet,direct_addition,10,uM,10min,platelet_activation,PAC-1_binding,2.461,MFI,increase,1.98x_vs_negative_control(MFI_1.245); 86pct reduction vs the LNA-free parent ON,1,TRUE,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 5A + S1 File Fig5,cc_by,"mean+/-SD 2.461+/-2.148, n=5; minimal residual activation only, consistent with the residual length dependency the authors describe"
TMSR011,TOLG002,in_vitro,human,washed_human_platelets,platelet,direct_addition,10,uM,10min,platelet_activation,CD62P_P-selectin,4.245,MFI,increase,1.47x_vs_negative_control(MFI_2.888); 55pct reduction vs the LNA-free parent ON,1,TRUE,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 5B + S1 File Fig5,cc_by,"mean+/-SD 4.245+/-1.348, n=5; residual activation at the 20-mer only"
TMSR012,TOLG002,in_vitro,human,recombinant_human_GPVI_SPR_Biacore,NA,direct_addition,10,uM,10s_post_association_stability_point,platelet_binding,GPVI_binding,7.185,pct_binding,increase,66pct reduction vs the LNA-free parent ON (21.32pct),1,TRUE,workflow:PMC5673186; doi:10.1371/journal.pone.0187574,PMC5673186; doi:10.1371/journal.pone.0187574,Fig 5C + S1 File Fig5,cc_by,mean of 2 replicates (8.72/5.65)
